alloy,Fe,Ni,Co,Cr,V,Cu,VEC,AR1,AR2,PE,Density,TermalC,MP,FI,SI,TI,M,TEC,TC,MS,MagS
,0.5060,0.0000,0.4940,0.0000,0.0000,0.0000,8.4806,137.5972,124.4806,1.8540,8367.0486,89.6111,1463.0853,761.4753,1604.0241,3089.5044,1.9797,9.3300,1381.7849,2.4078,0.0217
,0.4070,0.0000,0.5930,0.0000,0.0000,0.0000,8.5799,137.1003,124.5799,1.8590,8469.0267,91.5990,1521.4295,761.2695,1612.5134,3116.8277,1.9300,9.5500,1414.5865,2.3396,0.0196
,0.3080,0.0000,0.6920,0.0000,0.0000,0.0000,8.6804,136.5979,124.6804,1.8640,8572.1025,93.6082,1580.4017,761.0615,1621.0940,3144.4452,1.8798,9.9800,1439.0464,2.2369,0.0173
,0.2580,0.0000,0.7420,0.0000,0.0000,0.0000,8.7316,136.3422,124.7316,1.8666,8624.5839,94.6313,1610.4276,760.9557,1625.4628,3158.5067,1.8542,10.5300,1448.8028,2.1666,0.0161
,0.2190,0.0000,0.7810,0.0000,0.0000,0.0000,8.7717,136.1417,124.7717,1.8686,8665.7184,95.4331,1633.9617,760.8727,1628.8871,3169.5281,1.8342,11.4500,1455.1340,2.0995,0.0150
,0.2090,0.0000,0.7910,0.0000,0.0000,0.0000,8.7820,136.0902,124.7820,1.8691,8676.2940,95.6393,1640.0123,760.8513,1629.7675,3172.3616,1.8290,11.6700,1456.5497,2.0802,0.0148
,0.1890,0.0000,0.8110,0.0000,0.0000,0.0000,8.8026,135.9869,124.8026,1.8701,8697.4799,96.0522,1652.1332,760.8086,1631.5311,3178.0380,1.8187,11.8000,1209.8966,1.8749,0.0450
,0.1590,0.0000,0.8410,0.0000,0.0000,0.0000,8.8337,135.8316,124.8337,1.8717,8729.3458,96.6734,1670.3645,760.7443,1634.1838,3186.5760,1.8032,11.7300,1250.9606,1.8014,0.0428
,0.1000,0.0000,0.9000,0.0000,0.0000,0.0000,8.8951,135.5247,124.8951,1.8748,8792.3221,97.9010,1706.3948,760.6172,1639.4263,3203.4494,1.7725,11.6700,1320.2224,1.6419,0.0438
,0.0610,0.0000,0.9390,0.0000,0.0000,0.0000,8.9358,135.3208,124.9358,1.8768,8834.1753,98.7169,1730.3400,760.5328,1642.9104,3214.6633,1.7521,11.8000,1356.5406,1.5294,0.0409
,0.0410,0.0000,0.9590,0.0000,0.0000,0.0000,8.9568,135.2158,124.9568,1.8778,8855.7083,99.1366,1742.6596,760.4894,1644.7029,3220.4328,1.7416,12.5200,1391.7788,1.4182,0.0272
,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,9.0000,135.0000,125.0000,1.8800,8900.0000,100.0000,1768.0000,760.4000,1648.3900,3232.3000,1.7200,12.1300,1396.0000,1.3500,0.0248
Ni-Co,0.0000,0.9000,0.1000,0.0000,0.0000,0.0000,9.9004,135.0000,125.0000,1.9070,8907.2029,91.8967,1731.9853,739.4575,1742.6044,3378.7897,0.7116,13.0600,752.9962,0.6847,0.0045
,0.0000,0.8000,0.2000,0.0000,0.0000,0.0000,9.8007,135.0000,125.0000,1.9040,8906.4052,92.7941,1735.9739,741.7768,1732.1702,3362.5661,0.8233,12.8100,860.1952,0.8366,0.0037
,0.0000,0.7000,0.3000,0.0000,0.0000,0.0000,9.7009,135.0000,125.0000,1.9010,8905.6069,93.6923,1739.9657,744.0981,1721.7276,3346.3293,0.9350,12.7500,955.7447,0.9737,0.0041
,0.0000,0.6000,0.4000,0.0000,0.0000,0.0000,9.6010,135.0000,125.0000,1.8980,8904.8078,94.5912,1743.9608,746.4212,1711.2764,3330.0793,1.0469,12.5600,1040.7979,1.0940,0.0055
,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,9.5010,135.0000,125.0000,1.8950,8904.0082,95.4908,1747.9592,748.7463,1700.8168,3313.8160,1.1589,12.6500,1116.5137,1.1956,0.0075
,0.0000,0.4000,0.6000,0.0000,0.0000,0.0000,9.4010,135.0000,125.0000,1.8920,8903.2078,96.3912,1751.9608,751.0732,1690.3485,3297.5394,1.2709,12.3900,1184.0568,1.2763,0.0105
,0.0000,0.3500,0.6500,0.0000,0.0000,0.0000,9.3509,135.0000,125.0000,1.8905,8902.8074,96.8416,1753.9628,752.2374,1685.1112,3289.3961,1.3270,12.4100,1215.1291,1.3082,0.0124
,0.0000,0.3000,0.7000,0.0000,0.0000,0.0000,9.3009,135.0000,125.0000,1.8890,8902.4069,97.2923,1755.9657,753.4021,1679.8717,3281.2495,1.3830,12.0800,1244.5978,1.3341,0.0145
,0.0000,0.2500,0.7500,0.0000,0.0000,0.0000,9.2508,135.0000,125.0000,1.8875,8902.0061,97.7431,1757.9694,754.5672,1674.6301,3273.0996,1.4391,12.5900,1280.4093,1.3583,0.0120
,0.0000,0.2000,0.8000,0.0000,0.0000,0.0000,9.2007,135.0000,125.0000,1.8860,8901.6052,98.1941,1759.9739,755.7328,1669.3864,3264.9464,1.4953,12.7700,1303.4088,1.3685,0.0141
,0.0000,0.1500,0.8500,0.0000,0.0000,0.0000,9.1505,135.0000,125.0000,1.8845,8901.2042,98.6453,1761.9792,756.8989,1664.1405,3256.7898,1.5514,12.4800,1326.2932,1.3737,0.0164
,0.0000,0.1000,0.9000,0.0000,0.0000,0.0000,9.1004,135.0000,125.0000,1.8830,8900.8029,99.0967,1763.9853,758.0654,1658.8925,3248.6299,1.6076,12.6100,1349.2073,1.3731,0.0185
,0.0000,0.0500,0.9500,0.0000,0.0000,0.0000,9.0502,135.0000,125.0000,1.8815,8900.4016,99.5483,1765.9922,759.2325,1653.6423,3240.4666,1.6638,12.3200,1372.3478,1.3656,0.0217
FeNiCo,0.8010,0.1000,0.0990,0.0000,0.0000,0.0000,8.2870,139.0456,124.1909,1.8424,8070.6082,82.9525,1289.2000,759.8393,1589.3400,3025.5095,2.0169,9.5300,1107.2506,2.2455,0.0261
,0.7010,0.2000,0.0990,0.0000,0.0000,0.0000,8.4816,138.5580,124.2884,1.8502,8171.4466,84.0295,1342.5655,757.3798,1607.8260,3068.1110,1.8594,10.4100,1087.2980,2.1675,0.0233
,0.6500,0.2500,0.1000,0.0000,0.0000,0.0000,8.5806,138.3075,124.3385,1.8542,8223.2472,84.5915,1370.0221,756.1386,1617.2227,3089.8417,1.7796,9.5800,1078.3039,2.1267,0.0208
,0.6200,0.2800,0.1000,0.0000,0.0000,0.0000,8.6396,138.1595,124.3681,1.8566,8253.8465,84.9183,1386.2158,755.3923,1622.8321,3102.7688,1.7318,8.0600,1072.0869,2.1001,0.0198
,0.6010,0.3000,0.0990,0.0000,0.0000,0.0000,8.6781,138.0655,124.3869,1.8581,8273.2833,85.1172,1396.4594,754.8960,1626.4950,3111.1343,1.7004,1.2100,538.2475,1.9666,0.0405
,0.5800,0.3200,0.1000,0.0000,0.0000,0.0000,8.7186,137.9615,124.4077,1.8597,8294.7871,85.3556,1407.8824,754.3938,1630.3373,3120.0648,1.6679,3.2400,574.6289,1.9823,0.0377
,0.5500,0.3500,0.1000,0.0000,0.0000,0.0000,8.7781,137.8125,124.4375,1.8621,8325.5991,85.6847,1424.1888,753.6424,1635.9857,3133.0819,1.6198,6.0300,624.9749,1.9859,0.0339
,0.5010,0.4000,0.0990,0.0000,0.0000,0.0000,8.8766,137.5682,124.4864,1.8660,8376.1332,86.2156,1450.8894,752.3875,1645.3498,3154.5856,1.5398,8.7200,701.0207,1.9585,0.0282
,0.4000,0.5000,0.1000,0.0000,0.0000,0.0000,9.0780,137.0608,124.5878,1.8741,8481.0461,87.3450,1506.4544,749.8511,1664.4820,3198.7529,1.3771,11.0900,827.2796,1.8268,0.0189
,0.3000,0.6000,0.1000,0.0000,0.0000,0.0000,9.2805,136.5534,124.6893,1.8822,8585.9792,88.4658,1561.9872,747.2919,1683.7182,3243.0836,1.2132,12.1000,905.2935,1.6053,0.0118
,0.2000,0.7000,0.1000,0.0000,0.0000,0.0000,9.4851,136.0408,124.7918,1.8904,8691.9722,89.5979,1618.0809,744.7068,1703.1486,3287.8620,1.0477,12.7600,926.1278,1.3007,0.0073
,0.1000,0.8000,0.1000,0.0000,0.0000,0.0000,9.6917,135.5230,124.8954,1.8987,8799.0413,90.7414,1674.7440,742.0955,1722.7764,3333.0951,0.8805,12.7900,879.1176,0.9478,0.0048
,0.7010,0.1000,0.1990,0.0000,0.0000,0.0000,8.3847,138.5594,124.2881,1.8473,8170.3869,84.8928,1346.2631,759.6261,1597.6993,3052.3257,1.9677,9.8500,1192.4662,2.3208,0.0245
,0.6020,0.2000,0.1980,0.0000,0.0000,0.0000,8.5799,138.0717,124.3857,1.8551,8271.2452,85.9655,1399.6172,757.1547,1616.2401,3095.0146,1.8097,10.3600,1176.3138,2.2352,0.0207
,0.5510,0.2500,0.1990,0.0000,0.0000,0.0000,8.6796,137.8186,124.4363,1.8591,8323.5738,86.5354,1427.3641,755.9064,1625.7080,3116.9288,1.7293,9.8100,1169.2566,2.1880,0.0187
,0.5220,0.2800,0.1980,0.0000,0.0000,0.0000,8.7381,137.6741,124.4652,1.8614,8353.4635,86.8471,1443.1455,755.1582,1631.2733,3129.6889,1.6817,7.0400,639.0901,2.2038,0.0385
,0.5010,0.3000,0.1990,0.0000,0.0000,0.0000,8.7789,137.5692,124.4862,1.8631,8375.1443,87.0884,1454.6668,754.6541,1635.1372,3138.6776,1.6490,8.0230,674.2013,2.2032,0.0358
,0.4510,0.3500,0.1990,0.0000,0.0000,0.0000,8.8787,137.3186,124.5363,1.8671,8426.9722,87.6442,1482.1058,753.3956,1644.6134,3160.5348,1.5684,9.9400,752.1404,2.1660,0.0298
,0.4010,0.4000,0.1990,0.0000,0.0000,0.0000,8.9790,137.0667,124.5867,1.8711,8479.0592,88.2027,1509.6820,752.1308,1654.1371,3182.5013,1.4873,11.3900,820.2514,2.0936,0.0246
,0.3010,0.5000,0.1990,0.0000,0.0000,0.0000,9.1810,136.5591,124.6882,1.8792,8584.0188,89.3282,1565.2503,749.5821,1673.3279,3226.7657,1.3239,12.1600,922.1729,1.8700,0.0160
,0.2010,0.6000,0.1990,0.0000,0.0000,0.0000,9.3851,136.0464,124.7907,1.8874,8690.0389,90.4650,1621.3800,747.0077,1692.7127,3271.4774,1.1589,12.5500,969.9894,1.5582,0.0098
,0.1010,0.7000,0.1990,0.0000,0.0000,0.0000,9.5913,135.5285,124.8943,1.8956,8797.1357,91.6134,1678.0798,744.4071,1712.2943,3316.6431,0.9922,12.5700,953.1560,1.1830,0.0057
,0.6010,0.1000,0.2990,0.0000,0.0000,0.0000,8.4836,138.0680,124.3864,1.8522,8271.2332,86.8539,1403.9367,759.4106,1606.1481,3079.4288,1.9180,9.9100,1266.9739,2.3558,0.0226
,0.5510,0.1500,0.2990,0.0000,0.0000,0.0000,8.5821,137.8197,124.4361,1.8562,8322.5661,87.4065,1431.1243,758.1697,1615.5090,3101.0390,1.8384,10.4400,1260.3540,2.3086,0.0205
,0.5010,0.2000,0.2990,0.0000,0.0000,0.0000,8.6812,137.5702,124.4860,1.8602,8374.1547,87.9619,1458.4473,756.9226,1624.9165,3122.7568,1.7583,10.2600,1253.3854,2.2568,0.0185
,0.4730,0.2300,0.2970,0.0000,0.0000,0.0000,8.7389,137.4299,124.5140,1.8624,8403.1762,88.2566,1473.7317,756.1760,1630.4100,3135.2850,1.7112,9.9100,1247.4335,2.2228,0.0173
,0.4510,0.2500,0.2990,0.0000,0.0000,0.0000,8.7808,137.3195,124.5361,1.8641,8426.0007,88.5201,1485.9066,755.6692,1634.3710,3144.5830,1.6779,9.4200,740.3708,2.3240,0.0378
,0.4010,0.3000,0.2990,0.0000,0.0000,0.0000,8.8808,137.0675,124.5865,1.8682,8478.1061,89.0810,1513.5033,754.4096,1643.8728,3166.5185,1.5971,11.0400,817.4657,2.2759,0.0314
,0.3010,0.4000,0.2990,0.0000,0.0000,0.0000,9.0825,136.5597,124.6881,1.8762,8583.1031,90.2113,1569.1131,751.8714,1663.0197,3210.7202,1.4342,11.8600,939.4606,2.0698,0.0211
,0.2010,0.5000,0.2990,0.0000,0.0000,0.0000,9.2862,136.0468,124.7906,1.8844,8689.1613,91.3531,1625.2850,749.3075,1682.3602,3255.3688,1.2697,12.2200,1010.2488,1.7591,0.0131
